commit_hash,author,date,message,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
db421e3981d77676db4a701df9f850fedd545cc7,Grant Sanderson,2025-02-26 21:22:59,Video work (#2318),59,1,0,0,5,55,"330,20,502,22,78,703"
7a7bf83f117034b5cdf60ae85511c1b004769651,Grant Sanderson,2025-01-08 21:52:03,Only use -no-pdf for xelatex rendering (#2298),59,1,0,0,5,55,"330,20,502,22,78,703"
24eefef5bf185f7523799b5fcf71b4a90fca8c24,Varniex,2024-12-28 20:48:32,Automatically identify the class name based on the specified line number. (#2280),59,1,0,0,5,55,"330,20,502,22,78,703"
96d44bd560564882ddc6f0d81b92ca2a00b5954b,Grant Sanderson,2024-12-26 23:05:34,Video work (#2284),59,1,0,0,5,55,"330,20,502,22,78,703"
39fbb677dcc86fc32075249e66a3cbaba508aa7b,Grant Sanderson,2024-12-14 02:53:50,Have autoreload update shell namespace with reloaded module variables (#2278),59,1,0,0,5,55,"330,20,502,22,78,703"
c13d2a946b1c2fc82596da3d2db251053aab32e9,syhner,2024-12-14 00:35:48,fix typos (#2270),59,1,0,0,5,55,"330,20,502,22,78,703"
0c69ab6a32d4193f03ba9a604278eb3ce9699518,Grant Sanderson,2024-12-13 08:24:37,Update version number,59,1,0,0,5,55,"330,20,502,22,78,703"
f427fc67df75513be0cd3f3329e327a9a19401c3,Grant Sanderson,2024-12-13 08:15:34,A few bug fixes (#2277),59,1,0,0,5,55,"330,20,502,22,78,703"
3d9a0cd25e4604625b9740a98c46f4c5e272a10d,Grant Sanderson,2024-12-13 03:46:45,"Move resizing out of Window.focus, and into Window.init_for_scene (#2274)",59,1,0,0,5,55,"330,20,502,22,78,703"
33dbf049856f0f9e42b6791d926fe04707128440,Grant Sanderson,2024-12-13 03:37:55,Make checkpoint_states an instance variable of CheckpointManager (#2273),59,1,0,0,5,55,"330,20,502,22,78,703"
744e695340c5691551f2650d99db71964cb292c7,Grant Sanderson,2024-12-12 22:09:54,Misc. clean up (#2269),59,1,0,0,5,55,"330,20,502,22,78,703"
00b34f202044dd841c96c4bd60322d849226c8d7,Grant Sanderson,2024-12-12 20:22:03,Autoreload v2 (#2268),60,1,0,0,5,56,"330,20,502,22,78,703"
bafea89ac9d11dc168bce923a65501ec74312afe,Grant Sanderson,2024-12-12 01:03:48,Update InteractiveSceneEmbed (#2267),60,1,0,0,5,56,"330,20,502,22,78,703"
e2e785d6c99b629b63560fe145070c5726f10ae6,Grant Sanderson,2024-12-11 22:20:53,Remove init_config.py,60,1,0,0,5,56,"330,20,502,22,78,703"
c6c1a49edea28dd0a46082a93b186fda64d3a7e9,Grant Sanderson,2024-12-11 22:08:30,Update setup.cfg,60,1,0,0,5,56,"330,20,502,22,78,703"
6d753a297ae6e4c8251275757517104a6c873202,Grant Sanderson,2024-12-11 22:08:23,Remove stray imports,60,1,0,0,5,56,"330,20,502,22,78,703"
9ae5b4dee37108602b963b5f5624cec3de9b6cdf,Grant Sanderson,2024-12-11 22:03:50,Use addict.Dict for scene config,60,1,0,0,5,56,"330,20,502,22,78,703"
0b350e248bb58908f685189a2d3081d732a838ab,Grant Sanderson,2024-12-11 21:48:05,Change global_attrs back to global_config in Text,60,1,0,0,5,56,"330,20,502,22,78,703"
7148d6bcedb57573504b7f390c5b01dd2a74bd0f,Grant Sanderson,2024-12-11 21:33:49,Add addict to requirements,60,1,0,0,5,56,"330,20,502,22,78,703"
b470a47da778fc11716e0c43305937b396edaaa9,Grant Sanderson,2024-12-11 21:33:39,Remove unnecessary import,60,1,0,0,5,56,"330,20,502,22,78,703"
13fdc9629d62407111b12cca5023c91e83fd9078,Grant Sanderson,2024-12-11 21:28:51,No need for the shortcuts into the manim_config,60,1,0,0,5,56,"330,20,502,22,78,703"
fce92347fa1e847271b0ef5b68bd4c4f6dbd4234,Grant Sanderson,2024-12-11 21:20:17,"Replace get_global_config() with manim_config, and make it an addict Dict",60,1,0,0,5,56,"330,20,502,22,78,703"
185f6428264f25dcdbd4faeb6062dbc75d8b1ed9,Grant Sanderson,2024-12-11 20:59:04,Focus and sync window when initialized for a scene,60,1,0,0,5,56,"330,20,502,22,78,703"
4a6a12573998be1f50fe3d4c7f55a77b14f096dd,Grant Sanderson,2024-12-11 20:00:31,"Change ""style"" in default config to ""text""",60,1,0,0,5,56,"330,20,502,22,78,703"
8246d0da5daf8f3d0bfab05791a0fd7732fd2c8d,Grant Sanderson,2024-12-11 19:53:17,Fix bug with xelatex rendering,60,1,0,0,5,56,"330,20,502,22,78,703"
1794e4d0bab7b83ca0b899f45a25bfd243033524,Grant Sanderson,2024-12-11 19:07:52,Better align docs description of configuration with the updated format,60,1,0,0,5,56,"330,20,502,22,78,703"
4d7f6093b4c5fe09c3639218196f7a4c9cff5cf0,Grant Sanderson,2024-12-11 18:48:30,Update how tex configuration default is passed in,60,1,0,0,5,56,"330,20,502,22,78,703"
37a05094ea446ef2c9fc423e5c63eb5f2b1dc707,Grant Sanderson,2024-12-11 18:47:20,Small comment changes,60,1,0,0,5,56,"330,20,502,22,78,703"
76afc42e9a72fc25245fc54e7c3ba09b5f87f556,Varniex,2024-12-11 16:46:09,adding required packages to setup.cfg file,62,1,0,0,5,58,"330,20,502,22,78,703"
5fcb668f07fa8ddecf346bb1832da18cb4fbf7f2,Varniex,2024-12-11 16:40:56,fixing `get_ipython` import error,62,1,0,0,5,58,"330,20,502,22,78,703"
2d7b9d579a72442ffdcf1afb93d3b489a9037111,Grant Sanderson,2024-12-11 07:49:30,Move comment,60,1,0,0,5,56,"330,20,502,22,78,703"
9ac16ab72258c2a7abd26de75e4dd909ce87d43a,Grant Sanderson,2024-12-11 07:49:25,Remove DEFAULT_FPS constant,60,1,0,0,5,56,"330,20,502,22,78,703"
8744c878f4c46fc141a4c4bea888341dfba004e9,Grant Sanderson,2024-12-11 07:42:38,Make log_level configurable in default_config,60,1,0,0,5,56,"330,20,502,22,78,703"
9fcdd0de5f452eb9d8b98c146ef1e4b08cb27823,Grant Sanderson,2024-12-11 07:30:03,Use pyglet.window.key for key constant values,60,1,0,0,5,56,"330,20,502,22,78,703"
9f785a5fbaa6f22d0f9c02d0050b7e2450ea9f39,Grant Sanderson,2024-12-11 07:12:53,Move key to int constants to interactive_scene.py,60,1,0,0,5,56,"330,20,502,22,78,703"
a03accff9c984a81fd4ba92335a121d76a766aae,Grant Sanderson,2024-12-11 07:06:19,Rename local colors variable in constants.py,60,1,0,0,5,56,"330,20,502,22,78,703"
7d3758c44caf789d4d56072e4c2f8d212318ff15,Grant Sanderson,2024-12-11 07:03:06,Move joint_type_map out of constants to VMobject,60,1,0,0,5,56,"330,20,502,22,78,703"
f9a44c9975c454814d2f5cbcd55f1fbcc9048840,Grant Sanderson,2024-12-11 06:59:55,Make ffmpeg_bin specification a piece of file_writer_config,60,1,0,0,5,56,"330,20,502,22,78,703"
d5c36de3c59d77fd446355bd402fab61352ff6cd,Grant Sanderson,2024-12-11 06:53:15,DEFAULT_MOBJECT_TO_MOBJECT_BUFFER -> DEFAULT_MOBJECT_TO_MOBJECT_BUFF,60,1,0,0,5,56,"330,20,502,22,78,703"
c9b6ee57a83bc0d67f14de35318ba08cac4cf133,Grant Sanderson,2024-12-11 06:51:16,Make default_wait_time a piece of scene configuration,60,1,0,0,5,56,"330,20,502,22,78,703"
2c43d293a586201b1d706d5a4e9695fa42f2bc98,Grant Sanderson,2024-12-11 06:47:55,Move arbitrary constant definitions into default_config,60,1,0,0,5,56,"330,20,502,22,78,703"
2359ed9aa4dda07ac63e7b03243f2dc5b27c7def,Grant Sanderson,2024-12-11 04:30:33,Remove tempfile from requirements.txt,60,1,0,0,5,56,"330,20,502,22,78,703"
32d36a09f6771b16241f382110d64fbc844e4785,Grant Sanderson,2024-12-11 03:16:34,Update commend on reload_scene,60,1,0,0,5,56,"330,20,502,22,78,703"
8cf95ec9a49129bb5fbdb34879e895e8a7b4f487,Grant Sanderson,2024-12-11 03:16:17,Move ReloadManager logic into __main__.py,60,1,0,0,5,56,"330,20,502,22,78,703"
24697377dbf037f80fbab088af568bcf4ca0c735,Grant Sanderson,2024-12-11 03:01:43,Make the fact that the global configuration is a mutable global dictionary a bit more explicit,60,1,0,0,5,56,"330,20,502,22,78,703"
d21fbd02bca39948f008d11e9693504f2064013b,Grant Sanderson,2024-12-11 02:16:03,Minor tweak to reload_scene,60,1,0,0,5,56,"330,20,502,22,78,703"
284c1d8f2c5da14520a5d41858ca97a03075e692,Grant Sanderson,2024-12-11 02:13:10,Move message for no scenes found to extract_scene,60,1,0,0,5,56,"330,20,502,22,78,703"
ae93d8fcc6e0aa0cc9ac4f93fdd06298dbb31859,Grant Sanderson,2024-12-11 02:12:53,Move update to is_reload status of run_config out of ReloadManager,60,1,0,0,5,56,"330,20,502,22,78,703"
1d67768a13e17a89e780ed6ca4ccd961f7f190c4,Grant Sanderson,2024-12-11 02:04:46,"Move reload out of Scene, instead have it directly update the global run configuration",60,1,0,0,5,56,"330,20,502,22,78,703"
07bb34793eb04a94aae7f71a48e753d4eeaa2c7e,Grant Sanderson,2024-12-11 01:55:26,Add simple function descriptions,60,1,0,0,5,56,"330,20,502,22,78,703"
cd744024ea4390886fe8e36749a0cc2055d8217d,Grant Sanderson,2024-12-11 01:50:43,Minor reorganization of ReloadManager.retrieve_scenes_and_run,60,1,0,0,5,56,"330,20,502,22,78,703"
667cfaf160a56dc53eef3e0b391038c810759229,Grant Sanderson,2024-12-11 01:46:29,Remove args from ReloadManager,60,1,0,0,5,56,"330,20,502,22,78,703"
c61e0bcee523df8fd30512047a9c42d76b315712,Grant Sanderson,2024-12-11 01:46:07,Move window_config out of run_config,60,1,0,0,5,56,"330,20,502,22,78,703"
d1080aa6fdd0b135f3d772656b6a77da06086624,Grant Sanderson,2024-12-11 01:38:12,Add run configuration to global config,60,1,0,0,5,56,"330,20,502,22,78,703"
f9fa8ac8461efd8000fbaaa0347c2a1ea9c9e989,Grant Sanderson,2024-12-11 01:28:03,Make scene configuration part of the global configuration,60,1,0,0,5,56,"330,20,502,22,78,703"
bcc4235e2f6f329f872cc3df15c1956a75ba63bc,Grant Sanderson,2024-12-11 00:13:29,"Move embed configuration out of Scene, and get rid of error sound option",60,1,0,0,5,56,"330,20,502,22,78,703"
